ABC	ABC	properNoun	np	0.6	[ABC-np-ca, ABC-np-fr, ABC-np-es, ABC-np-it, ABC-np-sc]
Abel	Abel	noun	np	0.6	[Abel-np-ca, Abel-np-fr, Abel-np-es, Abel-np-it, Abel-np-sc]
Achille	Achille	noun	np	0.67	[Achille-np-ca, Achille-np-fr, Aquil%C2%B7les-np-ca, Achille-np-sc]
Adam	Adam	properNoun	np	0.6	[Adam-np-ca, Adam-np-eo, Adam-np-fr, Adam-np-es, Adam-np-it, Adam-np-sc]
Adela	Adela	properNoun	np	0.6	[Adela-np-ca, Adela-np-fr, Adela-np-es, Adela-np-it, Adela-np-sc]
Agostino	Agostino	noun	np	0.6	[Agostino-np-ca, Agostino-np-fr, Agostino-np-es, Agostino-np-it, Agostino-np-sc]
Alabama	Alabama	properNoun	np	0.7	[Alabama-np-ca, Alabama-np-fr, Alabama-np-es, Alabama-np-it, Alabama-np-sc]
Alan	Alan	properNoun	np	0.7	[Alan-np-ca, Alan-np-fr, Alan-np-es, Alan-np-it, Alan-np-sc]
Alaska	Alaska	properNoun	np	0.7	[Alaska-np-ca, Alaska-np-fr, Alaska-np-es, Alaska-np-it, Alaska-np-sc]
Albacete	Albacete	noun	np	0.6	[Albacete-np-ca, Albacete-np-fr, Albacete-np-es, Albacete-np-it, Albacete-np-sc]
Albert	Albert	properNoun	np	0.6	[Albert-np-ca, Albert-np-fr, Albert-np-es, Albert-np-it, Albert-np-sc]
Alberto	Alberto	properNoun	np	0.6	[Alberto-np-ca, Alberto-np-fr, Alberto-np-es, Alberto-np-it, Alberto-np-sc]
Alcoi	Alcoi	properNoun	np	0.7	[Alcoi-np-ca, Alcoi-np-fr, Alcoi-np-es, Alcoi-np-it, Alcoi-np-sc]
Alcoi	Alcoy	properNoun	np	0.52	[Alcoi-np-ca, Alcoy-np-fr, Alcoy-np-es, Alc%C3%B2i-np-oc, Alcoi-np-es, Alcoi-np-it, Alcoi-np-sc]
Alejandro	Alejandro	properNoun	np	0.7	[Alejandro-np-ca, Alejandro-np-fr, Alejandro-np-es, Alejandro-np-it, Alejandro-np-sc]
Alessandro	Alessandro	properNoun	np	0.6	[Alessandro-np-ca, Alessandro-np-fr, Alessandro-np-es, Alessandro-np-it, Alessandro-np-sc]
Alex	Alex	properNoun	np	0.7	[Alex-np-ca, Alex-np-fr, Alex-np-es, Alex-np-it, Alex-np-sc]
Alexander	Alexander	noun	np	0.7	[Alexander-np-ca, Alexander-np-fr, Alexander-np-es, Alexander-np-it, Alexander-np-sc]
Alfonso	Alfonso	properNoun	np	0.7	[Alfonso-np-ca, Alfonso-np-fr, Alfonso-np-es, Alfonso-np-it, Alfonso-np-sc]
Algeria	Algérie	properNoun	np	0.7	[Alg%C3%A8ria-np-ca, Alg%C3%A9rie-np-fr, Argelia-np-es, Algeria-np-it, Algeria-np-sc]
Alicante	Alicante	properNoun	np	0.7	[Alacant-np-ca, Alicante-np-fr, Alicante-np-es, Alicante-np-it, Alicante-np-sc]
Alice	Alice	properNoun	np	0.6	[Alice-np-ca, Alice-np-fr, Alice-np-es, Alice-np-it, Alice-np-sc]
Allen	Allen	noun	np	0.7	[Allen-np-ca, Allen-np-fr, Allen-np-es, Allen-np-it, Allen-np-sc]
Almansa	Almansa	noun	np	0.6	[Almansa-np-ca, Almansa-np-fr, Almansa-np-es, Almansa-np-it, Almansa-np-sc]
Alonso	Alonso	noun	np	0.6	[Alonso-np-ca, Alonso-np-fr, Alonso-np-es, Alonso-np-it, Alonso-np-sc]
Altea	Altea	properNoun	np	0.6	[Altea-np-ca, Altea-np-fr, Altea-np-es, Altea-np-it, Altea-np-sc]
Amanda	Amanda	properNoun	np	0.6	[Amanda-np-ca, Amanda-np-fr, Amanda-np-es, Amanda-np-it, Amanda-np-sc]
Ana	Ana	properNoun	np	0.6	[Ana-np-ca, Ana-np-fr, Ana-np-es, Ana-np-it, Ana-np-sc]
Andalusia	Andalousie	properNoun	np	0.7	[Andalusia-np-ca, Andalousie-np-fr, Andaluc%C3%ADa-np-es, Andalusia-np-it, Andalusia-np-sc]
Anderson	Anderson	noun	np	0.7	[Anderson-np-ca, Anderson-np-fr, Anderson-np-es, Anderson-np-it, Anderson-np-sc]
